"","all_trips$usertype","all_trips$day_of_week","all_trips$ride_length"
"1","Customer","Sunday",3044.58564233179
"2","Subscriber","Sunday",1093.05479854805
"3","Customer","Monday",2698.56298579735
"4","Subscriber","Monday",920.22656507167
"5","Customer","Tuesday",2429.2404537851
"6","Subscriber","Tuesday",907.839273908823
"7","Customer","Wednesday",2418.84079746468
"8","Subscriber","Wednesday",918.894849834643
"9","Customer","Thursday",2578.12681938919
"10","Subscriber","Thursday",912.571536979161
"11","Customer","Friday",2566.03033790296
"12","Subscriber","Friday",948.113022930959
"13","Customer","Saturday",2817.35834882812
"14","Subscriber","Saturday",1067.61609618717
